section_name,objectid,section_number,section_title,article_name,article_number,article_title,article_text
Section I,s1_a11,1,First Position,Article XI,11,Extended Position,"In the previous exercises and examples, the interval between adjacent fingers of the left hand was no greater than a half-step. Therefore, the interval reached between the first and fourth fingers was a minor third. Our hand is constructed so that as a rule (with few exceptions) we do not stretch more than a half-step between the second and third fingers or between the third and fourth fingers. However, we can stretch a major third between the first and fourth fingers using extended position. The hand position we have practiced up until now is called closed hand position, but by moving the first finger back by a half-step—with the thumb and the other fingers staying precisely in their previous places—the hand can stretch into an extended position.
[“Kleine Spannung” = “closed position”]
[“Grosse Spannung” = “extended position”]

[“Uebungen für die grosse Spannung” = “Exercises for Extended Position”]

p. 25


[“Beispiel mit grosser Spannung” = “Examples for Extended Position”]


p. 26
[“Uebungen mit abwechselnd Kleiner und grosser Spannung” = “Exercises Alternating Between Closed and Extended Position”]
[“Der Spieler hat sein ganzen Augenmerk darauf zu richten, dass be idem Hinauf- und Herunterrücken der ersten Fingers, Daumen und Hand ihre Stellungen nicht verändern.” = “The player must ensure that when moving the first finger up and down, the thumb and hand do not alter their position.”

It is best not to change the position of the fingers, and to let them stay on the string. For example, in nos. 1, 2, and 8, the second finger stays on the string. In nos, 3, 4, and 7, the third finger stays on the string. In nos. 5 and 6, the fourth finger stays on the string.


Extended position allows us to play the notes D-flat, A-flat, and B-flat in first position, which enables the execution of some scales with double flat.
[“F-dur” = “F major”; “B-dur” = “B-flat major”; “G-moll” = “G minor”; “Es-dur” = “E-flat major”; “C-moll” = “C minor”]

p.27


[“Beispiel mit abwechselnd kleiner und grosser Spannung” = “Examples with alternating close and extended hand position”]

p. 28"
Part Two,s2_a01,2,Positions and Position Shifts,Article I,01,The Concept of Positions,"The exercises and examples thus far did not go beyond this note on each string:

The range of pitches on each string was as follows:
[“auf der C-Saite” = “on the C-string”
“auf der G-Saite” = “on the G-string”
“auf der D-Saite” = “on the D-string”
“auf der A-Saite” = “on the A-string”]

The range of the cello, as well as of the individual strings, is much larger. However, the fingers have to play higher3 on the string than they have done up until now, meaning that the hand must change its location on the fingerboard.
These changes of location are called positions, and there are two types. (1) “Neck position,” where the thumb touches the neck of the cello, as before, and (2) “thumb position,” where the thumb touches the string as an independent finger.
For now, we will focus on the first type, where the basic rule is that the thumb always maintains a place on the neck of the cello opposite the first and second fingers.

If we take the first finger from the lowest possible position (by the nut) on the A-string and keep moving up by a half step with the thumb opposing the finger, we get seven positions:
[“Erste Rückung bezeichnet mit Position ½” = “First location is designated ‘half position'”
“Zweite Rückung bezeichnet mit Position I” = “Second location is designated ‘first position'”
“Dritte…Position I ½” = “Third location… ‘1 ½ position'”
“Vierte…Position II” = “Fourth location… ‘second position'”
“Fünfte…Position III” = “Fifth location… ‘third position'”
“Sechste…Position III 1/2” = “Sixth location… ‘3 ½ position'”
“Siebente…Position IV” = “Seventh location… ‘fourth position'”]

By the time you get to the seventh location, where the first finger touches an E on the A-string, the thumb has reached the limit of the neck position. If the first finger were to move further, for example to an F, the thumb could not move with it, as this would deviate from the rule that always determines the position of the thumb in relation to the first and second finger. We will discuss these deviations later.

p. 29
The seven locations on the four strings, and their corresponding fingered pitches, are as follows:
[A-Saite = A-string; D-Saite = D-string; G-Saite = G-string; C-Saite = C-string
[“Position ½: enharmonisch, als erniedrigte Position I zu betrachten” = “Half position: pitches can respelled enharmonically. Regarded as a ‘low first position.'”]
[“Position I: als erhöhte Position I zu betrachen” = “First position: regarded as ‘high first position.'”]
[“Position I ½: enharmonisch, als erniedrigte Position II zu betrachen” = “1 ½ position: pitches can be respelled enharmonically; considered as a'“low second position.'”]
[“Position II” = “Second position”]
[Position III” = “Third position”]
[“Position III ½: enharmonisch, also erniedrigte Position IV zu betrachten” = “3 ½ position: considered a “high third position,” or, if enharmonically respelled, a ‘low fourth position.'”]
[“Position IV” = “Fourth position]”

In exercises in the various positions, we begin with fourth position. It is the easiest to find, as the thumb has a specific place at the lower end of the neck of the cello. The player needs to take into account from now on that the higher the position, the smaller the distance between the individual fingers. In very high positions, the spaces between the fingers become so small that one finger has to be placed on the other—one finger has to give way to the other in order to play the intervals perfectly in tune. In fourth position, the fingers sit freely alongside each other, but touch each other's sides.
p. 30"
Part Two,s2_a02,2,Positions and Position Shifts,Article II,02,Fourth Position,"[“Uebungen mit kleiner Spannung” = “Exercises in closed hand position”]

[“Beispiel” = “Example”]
[“Begleitung' = Accompaniment]


p. 31
[“Uebungen mit grosser Spannung” = “Exercises with Extensions”]
[“Durch Zurückrücken des ersten Fingers um einen halben Ton, wobei Daumen und die andern Finger ihre früheren Plätze behalten, erhält man wie bei der ersten Position die grosse oder weite Spannung” = “If you move the first finger back a half-step, keeping the thumb and other fingers in their previous places, you get the same kind of extension as in first position.”
 
[“Beispiel mit grosser Spannung” = “Example in Extended Position”]
 

p. 32
[“Beispiel mit abwechselnd kleiner und grosser Spannung” = “Example with Alternating Closed and Extended Position”]
[“Begleitung” = “Accompaniment”]"
Part Two,s2_a03,2,Positions and Position Shifts,Article III,03,Shifting from First to Fourth Position and Vice Versa,"Shifting from one position to another is done by sliding the thumb on the neck of the cello. The fingers have their own roles. It is very easy if the first note of the new position is played with the same finger as the last note of the previous position, as in this example:

Here, the thumb on the neck of the cello and the fingers on the strings slide quickly and easily from one position to another. It is more difficult if the first note of the following position is played with a different finger from the last note of the previous position. In such cases, with a few exceptions, we can determine a basic rule that the finger already on the string slides into the new position without leaving the string, and either stays in the place it has reached or is quickly lifted. This depends on whether the note in the new position is played with a higher- or lower-numbered finger, but the “new” finger has to fall into place at the moment the new position is reached. Therefore, in a shift involving two fingers, one has to slide and the other drop onto the string. According to the above rule, we would have to drop the finger that is starting the new position.
The reverse is not absolutely forbidden, as the player sometimes achieves an expressive glissando that way. However, the learner is advised not to deviate from the rules at the beginning; the rules help achieve precision in playing and avoids many redundant or ugly-sounding glissandi.
p. 33
We will now take a closer look at individual instances of shifting: (1) when the shift occurs on the same finger, and (2) when there is an open string between the two positions, for example:

In this example, only the thumb shifts into the new position. The finger that plays first in the new position (E in the first measure, B and F in the third, D in the fifth, G in the sixth, B in the seventh) drops onto the string at the moment the thumb reaches the new position. If the finger were to touch the string too early, there will be one of the ugly glissandi mentioned above.
(3) If the first note of the new position is fingered with a higher-numbered finger than the last note of the previous position, for example:

Here, the first finger shifts to its appointed place in fourth position, namely to the E. At the moment when this note is reached, the second finger falls on the F (in example A), or the third finger on the F-sharp (example B), or the fourth finger on the G (example C).

Here, the second finger shifts to the F in fourth position. At the moment this note is reached, the third finger drops onto the F-sharp (example D), or onto the fourth finger on the G (example E).

In example F, the third finger shifts onto the F-sharp in fourth position, and at the moment when this note is reached, the fourth finger drops onto the G.

In example G, the first finger shifts down from fourth to first position on the B. At the moment when this note is reached, the second finger drops onto the C. In example H, the third finger drops onto C-sharp. In example I, the fourth finger drops onto D.

In example K, the second finger shifts down to C in first position. The third finger then drops onto C-sharp. In example L, the fourth finger drops onto D.

In example M, the third finger slides down to the C-sharp in first position, and the fourth finger drops onto D.
(4) The first note in the new position is played with a lower-numbered finger than the last note of the old position. In this case, in addition to the previous instructions, the shifting finger—which until then kept its place in the new position—now needs to be lifted in order not to “cover” the next finger.
If the first note of the following position is played with a lower-numbered finger than the last note of the previous position. In this case, in addition to what has been said earlier, the sliding finger, which until then maintained its place in the new position, must now be lifted in order not to cover the subsequent lower-numbered finger.
p. 34
In this case, we have to differentiate between going from a higher to a lower position, and vice versa.
(a) Shifting from a higher to a lower position


In example N, the fourth finger shifts down to the D in first position; the moment it reaches this note, it is no longer needed. The first finger drops onto B. In example O, the second finger drops onto C. In example P, the third finger drops onto C-sharp.

In example R, the third finger shifts down to the C-sharp in first position, and is no longer needed. The first finger drops onto B. In example S, the second finger drops onto C-natural.

In example T, the second finger shifts down to C in first position and is lifted. The first finger drops onto B.
(b) Shifting from a lower position to a higher one (see note)4

In example U, the fourth finger shifts to G in fourth position and is lifted. The first finger drops onto E. In example V, the second finger drops onto F. In example W, the third finger drops onto F-sharp.

In example X, the third finger shifts to F-sharp in fourth position and is lifted. The first finger drops onto E. In example Y, the second finger drops onto F.

In example Z, the second finger shifts to F in fourth position and is lifted. The first finger drops onto E.
These rules for shifting between first and fourth position remain the same regardless of whether the hand is in closed or extended position.
Since the given examples were exclusively in closed position, here are some examples in extended position:

p. 35.
Change of Position Across More Than One String
The rules established remain the same whether the new position is on the same or on a different string. Here, too, a distinction is made between the four different cases of change of position listed above, namely:
(1) if the shift is done with the same finger,
(2) if there is an open string between both positions,
(3) if the first note in the new position is fingered with a higher-numbered finger than the last note of the old position,
(4) if the first note of the new position is fingered with a lower-numbered finger than the last note of the old position.


In contrast to the corresponding shifts on one string, the shifts using one finger across two different strings are the most difficult and should be avoided by beginners.

These shifts follow the same rules as for shifts on one string, except that the player must not neglect to notice that the shifting finger only shifts on the string on which it is already located. For example, in example 3, first line, measure 1, the first finger shifts from E to A in fourth position on the D-string, and the second finger drops down in fourth position on the A-string. In example 4, first line, measure 1, the second finger shifts from F to B-flat in fourth position on the D-string, while the first finger drops down on E on the A-string. In example 4, line 2, measure 1, the second finger shifts from C to the F in fourth position on the A-string, while the first finger drops onto A on the D-string.
When doing position shifts across two strings, the main difference in the last example (when the first note of the new position is played with a lower-numbered finger than the last note of the old position) the shifting finger is lifted when the player reaches the new position, so as not to cover the new, lower-numbered finger. Since the playing fingers are on different strings, the new finger does not get covered by the old finger.

p. 36.
[“Beispiele für Positionswechsel zwischen Ister und IVter Position” = “Examples of Position Shifts between First and Fourth Position”]
[“(1) Der erste Ton der neuen Position ist mit demselben Finger zu greifen, wie der letzte der vorhergehenden.” = “(1) The first note of the new position is played with the same finger as the last note of the old position.”]


[“(2) Zwischen beiden Positionen liegt die leere Saite” = “(2) Shifting across an open string”]

p. 37
[“(3) Der gleitende Finger ist tiefer, wie der folgende fallende, und bleibt liegen” = “(3) The shifting finger is lower-numbered and remains on the string”
[“Anmerk” = “See note”]5



[“(4) Der gleitende Finger ist hoeher, wie der folgende fallende, und wird aufgehoben” = “(4) The higher-numbered finger executes the shift, then lifts when the new finger comes down on the string.”


p. 38.
[“Beispiel für Positionswechsel mit grosser Spannung” = “Exercise for Position Shifts in Extended Position”]

p. 39 


[“Beispiel für Positionswechsel auf mehreren Saiten” = “Exercise for Position Shifts on Multiple Strings”]

p. 40"
Part Two,s2_a04,2,Positions and Position Shifts,Article IV,04,1 ½ Position,"We study 1 ½ position after fourth position, partly because it is easy to find (the hand and thumb shift a half-step up from first position), and partly because we can consider it a “raised first position.” This is because it makes it possible to play a major third, and thus to play the major scales of D, A, and E without significantly leaving first position.
The player puts the first finger in place in first position, then goes up a half-step with the thumb and hand so that the first finger is in C on the A-string (enharmonically spelled as B-sharp). This can be referred to as raised first position or as lowered second position. 
[“A-Saite” = “A-string”; “D-Saite” = “D-string”; “G-Saite” = “G-String”; “C-Saite” = “C-string”]
[“Erhöhte Iste Position” = “Raised first position”]
[“Erniedrigte IIte Position” = “Lowered second position”]
[“Enharmonisch” = “Enharmonically respelled”]

[“Uebungen in der Position I ½ mit kleiner Spannung” = “Exercises in 1 ½ Position – Closed Hand Position”]


[“Beispiel als erhöhte Iste Position” = “Example in Raised First Position”]

p. 41


[“Beispiel als erniedrigte IIte Position” = “Example in Lowered Second Position”]


p. 42
Extensions in 1 ½ Position
This is similar to what we do in the first and fourth position. We move the first finger back by a half-step, creating an extension in 1 ½ position—which, in this case, is usually the raised first position. 
[“Uebungen in der Position I ½ mit grosser Spannung” = “Exercises in 1 ½ Position with Extensions”]


[“Beispiel mit grosser Spannung” = “Example in Extended Position”]

p. 43

Extensions in 1 ½ position make it possible to play the scales of D, A, and E major without the first finger having to change its place in first position: it just moves the thumb up a half-step, if necessary, to facilitate the extension.
[“D-dur” = “D major”]
[“Position I ½, gr. Spannung” = “1 ½ position, extended”]
[“Position I, kl. Spannung (Daumen rückt einen halben Ton zurück)” = “First position, closed (thumb moves back by a half-step)”]
[“Position I ½, gr. Spannung” = “1 ½ position, extended”]
[“A-dur” = “A major”]
[“Position I ½, gr. Spannung” = “1 ½ position, extended”]
[“Position I, kleine Spannung” = “First position, closed”]
[Position I ½, grosse Spannung” = “1 ½ position, extended”]
[“E-dur” = “E major”]"
Part Two,s2_a05,2,Positions and Position Shifts,Article V,05,Half Position,"The player puts the first finger in its place in first position, then moves the thumb and hand back a half-step so that the first finger on the A-string goes from B to A-sharp (or, enharmonically respelled, B-flat); in the second case, the half position could be viewed as a lowered first position.
[“A-Saite” = “A-string”; “D-Saite” = “D-string”; “G-Saite” = “G-string”; “C-Saite” = “C-string”]
[“enharmonisch” = enharmonic respelling]
[“Erniedrigte 1ste Position” = “lowered first position”]
 
p. 44
[“Uebungen in der Position ½” = “Exercises in Half Position”]


[“Beispiel in der Position ½” = “Example in Half Position”]

[“Es versteht sich von selbst, dass bei der Position ½ keine grosse Spannung möglich ist, da der erste Finger durch seine Lage am Sattel nicht zurückrücken kann” = “It goes without saying that in half position, extended position is not possible, because the first finger is already positioned at the nut and therefore does not move back.”]

p. 45"
Part Two,s2_a06,2,Positions and Position Shifts,Article VI,06,Second Position,"If you move your hand and thumb up from first position by a whole step, you get to second position.
[“Uebungen in der Position II mit kleiner Spannung” = “Exercises in Second Position with Closed Hand Position”]

[“Beispiel mit kleiner Spannung” = “Example in Closed Hand Position”]
 

p. 46
[“Uebungen mit grosser Spannung” = “Exercises in Extended Position”]

[“Beispiel mit grosser Spannung” = “Example in Extended Position”]


p. 47"
Part Two,s2_a07,2,Positions and Position Shifts,Article VII,07,Third Position,"If you move your hand and thumb back from fourth position by a whole step, you get to third position.
“Uebungen in der Position III mit kleiner Spannung” = “Exercises in Third Position with Closed Hand Position”


p. 48
[“Beispiel mit kleiner Spannung” = “Example in Closed Hand Position”]

Extensions in Third Position
[“enharmonisch” = enharmonically respelled]
[“als erhöhte Position II zu betrachten” = “to be regarded as a raised second position”]

p. 49
[“Beispiel mit grosser Spannung” = “Example with Extensions”]

p. 50"
Part Two,s2_a08,2,Positions and Position Shifts,Article VIII,08,3 ½ Position,"If you take your thumb and hand a half-step back from fourth position, you get to 3 ½ position.
[“Uebungen in der Position III ½ mit kleiner Spannung” = “Exercises in 3 ½ Position with Closed Hand Position”]
 
p. 51
[“Beispiel mit kleiner Spannung” = “Example with closed hand position”]


[“Uebungen für die grosse Spannung der Position III ½” = “Exercises for Extensions in 3 ½ Position”


p. 52
[“Beispiel mit grosser Spannung” = “Example with Extensions”]
[“Begleit.” = accompaniment]


p. 53"
Part Two,s2_a09,2,Positions and Position Shifts,Article IX,09,4 ½ Position,"[“Die Position IV ½ mit kleiner Spannung ist folgende:” = “The 4 ½ position using a closed hand position is as follows:”
[“oder enharmonisch” = “enharmonically respelled”]
[“mit grosser Spannung” = “with extensions”]


This position deviates from the previous positions discussed, because the thumb (as mentioned in Article I of this section) cannot move with the first finger. Consequently, it cannot oppose the first and second fingers.
In spite of this, the position is listed here partly because it is similar to the other positions mentioned. The fourth finger is still used (this finger must not play a note higher than G-sharp or A-flat without the use of the thumb). Furthermore, the extension here can be made comfortably by stretching the second finger up from fourth position.
To illustrate this, recall (as was stated in an article in the previous section on extensions) that the stretch between the first and second fingers can easily span a whole step. This extension can be done in two ways: either by moving the first finger back, as previously discussed, or by moving the second finger up.
    (A) Backwards extension of the first finger (in first position)

    (B) Forwards extension of the second finger (in first position)

 Of these two cases, the first kind of extension is decidedly the easier. The difference is
p. 54
that in the first case, the thumb is closer to the second finger; in the second case, it is closer to the first finger. In lower position (half, first, second, etc.), the distance between the fingers is relatively large enough that the stretch, as in (B), is uncomfortable for an average-sized hand and almost impossible for a small one. This is why it is appropriate to transfer the extension, as in (B), to the higher position, where the thumb (being half a tone higher) comes closer to the second finger and makes the stretch easier.
(In some schools of cello playing, the following fingering 

counts as half position. A similar fingering:

counts as first position, etc.)
In fourth position, however, the distances between the fingers are so much smaller that an extension such as that in (B), with the thumb closer to the first finger, can be grasped with ease, and is obtained in fourth position by moving the second finger up, using this fingering.

The fingerings in examples 5-8 are the same as those set forth above for extensions in 4 ½ position. In this way, we could regard 4 ½ position as part of fourth position, so its place in this section is justified.
[“Uebungen mit kleiner Spannung” = “Exercises in Closed Hand Position”]


p. 55
[“Beispiel mit kleiner Spannung” = “Example in Closed Hand Position”]


p. 56 
[“Uebungen mit grosser Spannung” = “Exercises with Extensions”]

[“Beispiel mit grosser Spannung” = “Example with Extensions”]

p. 57"
Part Two,s2_a10,2,Positions and Position Shifts,Article X,10,Position Shifts,"The rules given in Article III of this section concerning shifts between the first and fourth positions remain the same for shifts between other positions. The following exercises are intended to familiarize the player with shifting between various positions, taking into account the four cases mentioned above. (The positions are labeled half, first, 1 ½, second, third, 3 ½, fourth, 4 ½. These numbers are to be understood as closed hand positions. If extensions are added, so is the abbreviation “gr.”)

Position Shifts on One String
[“1ter Fall” = “First Type”]
[“Die Uebergang geschiet mit demselben Finger” = “The shift is done on the same finger”]


p. 58
[“Mit dem zweiten Finger” = “With the second finger”]
[“Mit dem dritten Finger” = “With the third finger”]
[“Mit dem vierten Finger” = “With the fourth finger”]
[“gr.” = “extension”]


p. 59

[“2ter Fall” = “Second Type”]
[“Zwischen beiden Positionen liegt die leere Saite” = “Shifting when there is an open string between the positions”]
 

[“3ter Fall” = “Third Type”]
[“Die erste Note der folgenden Position wird mit einem höheren Finger gegriffen, als die letzte Note der vorhergehenden Position” = “The first note of the new position is assigned a higher-numbered finger than the last note of the old position”]

p. 60
[“4ter Fall” = “Fourth Type”]
[“Die erste Note der folgenden Position wird mit einem tieferen Finger gegriffen, als die letzte Note der vorhergehenden Position.” = “The first note of the new position is assigned a lower-numbered finger than the last note of the old position.”]


[“Positionswechsel auf mehreren Saiten” = “Position Shifts Across More than One String”]

[“Beispiel auf einer Saite” = “Example on One String”]


p. 61
 

p. 62
[“Beispiel auf mehreren Saiten” = “Example on More than One String”]


p.63


p. 64"
Section III,s3_a01,3,The Higher Positions (Excepting Thumb Position),Article I,01,Higher Positions in General,"The construction of our hand allows us a large stretch between the thumb and the first finger. This makes it possible to move the first finger higher than fourth position, while the thumb can go no further up. The positions we can get to in this way are called “higher positions” and can be described as follows:
[“Der erste Finger liegt auf f, b, es, as” = “The first finger touches F, B-flat, E-flat, and A-flat”]
[“Der erste Finger liegt auf fis, h, e, a” = “The first finger touches F-sharp, B, E, and A”]
[Der erste Finger liegt auf g, c, f, b” = “The first finger touches G, C, F, and B”]
[“Der erste Finger liegt auf gis, cis, fis, h” = “The first finger touches G-sharp, C-sharp, F-sharp, and B”]
[Der erste Finger liegt auf a, d, g, c” = “The first finger touches A, D, g, and C”]

The player will have noticed that the numbered positions correspond to those of the major scale of the open string. Therefore, the first finger is always on a scale-specific interval in the positions with whole numbers. 



[“C-Saite” = “C-string”]
[“C-dur” = “C major”]
[“G-Saite” = G-string”]
[“G-dur” = “G major”]
[“D-Saite” = “D-string”]
[“D-dur” = “D major”]
[“A-Saite” = “A major”]

The half-steps between the scale degrees (tonic and second, second and third, fourth and fifth, fifth and sixth, and sixth and seventh) therefore correspond to the respective half-positions: half, 1 ½, 3 ½, 4 ½, 5 ½.  
p. 65
The higher positions differ significantly from those discussed in the first two sections, i.e.:
    1) Distancing the first finger from the thumb causes the hand to bend to the left. As a result, the fingers also move away from the string to the left. This gives the whole hand a different shaping over the strings. This mostly affects the fourth finger, which suffers the greatest deviation from the thumb and is bent so far to the left of the string that it can no longer touch it. This is why we do not use the fourth finger on pitches higher than G-sharp or A-flat on the A-string, or on corresponding pitches on the other strings. The player therefore can only use three of the fingers in the higher positions.
        a. Note: this rule regarding the fourth finger only really applies on the A-string. If the first finger is playing a G in seventh position on the G-string, the fourth finger can play a D in seventh position on the A-string. This is because, even when bent to the left, it can easily touch the A-string. The following fingering is therefore easy to play with the fourth finger:


    2) The distances between the fingers are so much smaller in higher positions that an extension of up to a whole step is possible between the second and third fingers. In this way, more extensions are possible in higher positions. We can play a whole step between the first and second fingers and between the second and third fingers. Consequently, you get four fingerings: (1) a half step between 1 and 2 and another half step between 2 and 3, (2) a whole step between 1 and 2 and a half step between 2 and 3, (3) a half step between 1 and 2 and a whole step between 2 and 3, and (4) a whole step between 1 and 2 and another whole step between 2 and 3. These fingerings are shown on the A-string in seventh position:
[“kl.” = “closed position”]
[“gr.” = “extended position”]

There is a fifth scenario, where there is a stretch of one and a half steps between the first and second fingers, which is easily reached. In this case, however, the third finger would be no more than a half-step away from the second finger, since the stretch between the first and third fingers can never be larger than a major third:
[“doppelt gr.” = “double extension”]
[“kl.” = “closed position”]

    3) The thumb, unlike in previous positions, is no longer opposite the first and second fingers. This situation is hard to regulate in higher positions because it can vary depending on hand size and thumb length. The thumb, which in fourth position partly encircles the neck of the cello, usually moves more to the left when the hand goes into higher positions. In seventh position, therefore, the tip of the thumb touches the point where the fingerboard meets the neck of the cello. As in fourth position, the hand always rests on the upper bout of the cello, thereby giving necessary support to the position.
4 ½ position has already been discussed in the previous section as part of fourth position, but it is also sometimes used as an independent position with the fingering 1-2-3 for the interval of a major third, since otherwise the fourth finger would be on A, D, G, C. 

p. 66
The five fingerings discussed appear in 4 ½ position as follows:

Note: the tones marked “NB” (A, D, G, C) are reached here for the first time. They are at the exact halfway point of each string, and also sound when the finger touches the string lightly at the relevant point. These so-called “harmonic tones” will be discussed in Part Two. Harmonics (marked “0”) are easy to play, even if the finger does not hit the spot exactly. They also continue to sound for a short time after the finger is lifted. This makes it easier to move into a new position from one of the harmonics, as in the following figure:

If the A is lightly touched with the third finger, it sounds absolutely pure, even if the finger has not touched it exactly. (This can be easily confirmed by pressing the finger down.) At the shift to the lower A on the D-string, it is sufficient to lift the third finger and place the first on the A, because the harmonic still sounds after the finger comes off the string.
The following exercises show the five fingerings in the higher positions; then similar fingerings for the shifts between the individual higher positions. The rules given in Article III of the previous section remain the same.
[“Uebungen für die Position IV ½” = “Exercises in 4 ½ Position”]

[“Uebungen für die Position V” = “Exercises in Fifth Position”]

[“Uebungen für die Position V ½” = “Exercises in 5 ½ Position”]


[“Uebungen für die Position VI” = “Exercises in Sixth Position”]

p. 68
[“Uebungen für die Position VII” = “Exercises in Seventh Position”]


[“Uebungen für Uebergänge zwischen den höheren Positionen” = “Exercises in Shifting Between Higher Positions”]
[“(Blos  für A- und D-Saite, weil ähnliche Stellen nur selten für die tieferen Saiten vorkommen.)” = “(These exercises are for the A- and D-strings only, since comparable passages seldom occur on the lower strings.)”]

p. 69


[“Beispiel” = “Example”]

p. 70"
Section III,s3_a02,3,The Higher Positions (Excepting Thumb Position),Article II,02,Shifts from Lower to Higher Positions,"In shifts from lower to higher positions, most of the exceptions to the rules concern the shifting finger and the dropping finger. These exceptions by necessity concern the fourth finger, which cannot play in higher positions.
A shift performed by the “new” finger can sometimes sound good here, especially when (as with an experienced player) it does not begin immediately and the fingers “peel off,” so to speak. In the following figure:

the third finger does not shift directly out of first position (i.e. from the C-sharp). The fourth finger begins the shift, and is replaced by the third finger as it is lifted up. Only then does the new finger start the movement up to the high C. This kind of position shift requires great skill, however, to ensure that the lifting of the finger is not heard. The whole thing gives the impression that the third finger is shifting from D to C.
One more instance—which presents many difficulties for the beginner—should be pointed out here. This is the when the “old” note of a shift is muffled in shifts of larger intervals (sixth, seventh, octave, etc.). In the following figure:

the notes marked “NB” are often muffled or indistinct, because the beginner is only thinking about the “new” note. A shift of a large interval often begins before the notes are clearly sounding. It is therefore very advisable for beginners to place more emphasis on these notes, and not to think about the shift until the “old” note is clearly established—or even to make it somewhat longer than it is due.
The following examples show all the position shifts between first and seventh positions. The shifts between other positions are done in a similar way.

[“A-Saite” = “A-string”]
[“D-Saite” = “D-string”]

p. 71


[“Beispiel” = “Example”]

p. 72"
Section III,s3_a03,3,The Higher Positions (Excepting Thumb Position),Article III,03,Major and Minor Scales in Two Octaves,"The learner now knows all of the positions except thumb position, and can now focus on the study of scales—which are the cornerstone of every finger technique. The fingering for all major and minor scales is one and the same. The following should be noted:
If you take the two-octave scale (including the tonic at the top) as a series of 15 notes and divide them into groups of three notes, you get five groups—each bordered by the interval of a third.

[“I. Gruppe” = “First group”; “II. Gruppe” = “Second group”; “III. Gruppe” = “Third group”; “IV. Gruppe” = “Fourth group”; “V. Gruppe” = “Fifth group”]
[“grosse Terz” = “Major third”; “kleine Terz” = “Minor third”]
[“Hinauf” = “Ascending motion”; “Herunter” = “Descending motion”]
[“Cis-moll (melodisch)” = “C-sharp melodic minor”]

The major scale, when broken down in this way, consists of two major and three minor thirds in ascending motion, and the opposite in descending motion. The ascending minor scale consists of alternating minor and major thirds, and in descending motion, three major and two minor thirds. As we know, the interval of a third can be played in any position with the first and fourth fingers: in extended position for the major third, and in closed position for the minor third. In this way, we can find the fingering for all scales if we begin with the first finger; we approach a new position with the first finger after every three notes. 
Fingering for the major scale
	In ascending motion: 1-2-4, 1-2-4, 1-2-4, 1-2-4, 1-3-4.
	In descending motion: 4-3-1, 4-2-1, 4-2-1, 4-2-1, 4-2-1.
Fingering for the minor scale6
	In ascending motion: 1-3-4, 1-2-4, 1-2-4, 1-2-4, 1-3-4.
	In descending motion: 4-2-1, 4-2-1, 4-2-1, 4-3-1, 4-3-1.
Minor thirds are fingered with 1-2-4 or 1-3-4 patterns, depending on position of the half-step. In higher registers, of course, the third finger would play instead of the fourth.
The given fingering rule would be absolute for all major and minor scales if there were no open strings. The above fingering, therefore, works for scales in which no open strings can occur.
p. 73
Aside from the fact that the scales of C and G cannot be fingered with the first finger, the open strings modify the fingering insofar as they make it possible to play some scales entirely and others partly in first position. This is a welcome relief to the beginner, though the advanced player often prefers to avoid open strings because they may stand out from the other notes due to their brighter tone color.
In the following list of all major and minor scales, the fingering above the staff is the usual one. The fingering under the staff—which offers alternative fingerings to open strings—serves as proof that scales containing open strings can also be played according to the finger pattern rule.
In studying scales, it is advisable to visualize the position clearly each time. For example, in E major, the series of positions is as follows:
[“C-Saite” = “C-string”; “G-Saite” = “G-string”; “D-Saite” = “D-string”; “A-Saite” = “A-string”]
[“Spannung” = “hand position”; “gr.” = “extended position”; “kl.” = “closed position”]


[“Cis-moll” = “C-sharp minor”]
[“Hinauf” = “Ascending motion”; “Herunter” = “Descending motion”]
[“C-Saite” = “C-string”; “G-Saite” = “G-string”; “D-Saite” = “D-string”; “A-Saite” = “A-string”]
[“Spannung” = “hand position”; “gr.” = “extended position”; “kl.” = “closed position”]


[“C-dur” = “C major”; “A-moll” = “A minor”]

[“G-dur” = “G major”; “E-moll” = “E minor”]

p.74
[“D-dur” = “D major”; “H-moll” = “B minor”]

[“A-dur” = “A major”; “Fis-moll” = “F-sharp minor”]

[“E-dur” = “E major”; “Cis-moll” = “C-sharp minor”]

[“H-dur” = “B major”; “Gis-moll” = “G-sharp minor”]


[“F-dur” = “F major”; “D-moll” = “D minor”]

p.75
[“B-dur” = “B-flat major”; “G-moll” = “G minor”]

[“Es-dur” = “E-flat major”; “C-moll” = “C minor”]


[“As-dur” = “A-flat major”; “F-moll” = “F minor”]

[“Des-dur” = “D-flat major”; “B-moll” = “B-flat minor”]

[“Ges-dur” = “G-flat major”; “Es-moll” = “E-flat minor”]"
